date,Implied_Risk_Aversion
2006-02-28,221.4160272875468
2006-03-01,202.76252865851035
2006-03-02,210.27671759171895
2006-03-03,241.44270740974756
2006-03-06,243.6910318883146
2006-03-07,215.77769980450708
2006-03-08,202.07248194847932
2006-03-09,202.37269351256268
2006-03-10,193.94726013303867
2006-03-13,204.87263911551332
2006-03-14,212.7633660898636
2006-03-15,245.05723563548452
2006-03-16,248.31660212848254
2006-03-17,240.6665080489026
2006-03-20,260.7430295046415
2006-03-21,278.87890765877694
2006-03-22,281.3914991112893
2006-03-23,308.02138647645296
2006-03-24,290.4643330524943
2006-03-27,298.53488835341267
2006-03-28,293.674635662592
2006-03-29,287.475573069683
2006-03-30,286.13423055679385
2006-03-31,304.67423057471024
2006-04-03,308.1595004171948
2006-04-04,312.56216961640246
2006-04-05,330.41747196038216
2006-04-06,330.1941276389071
2006-04-07,325.961929333281
2006-04-10,298.0367121852707
2006-04-11,285.50183080026164
2006-04-12,266.9444715501663
2006-04-13,290.12040130387606
2006-04-17,294.50268122350127
2006-04-18,322.17652588954786
2006-04-19,329.53598596649965
2006-04-20,325.6358203504339
2006-04-21,326.5147496730572
2006-04-24,323.55575696553126
2006-04-25,354.25813166714454
2006-04-26,340.453453804512
2006-04-27,353.4157534458504
2006-04-28,369.70783949154287
2006-05-01,397.8128353583352
2006-05-02,380.8935191152838
2006-05-03,391.03976928361715
2006-05-04,372.3709719765229
2006-05-05,367.068664934902
2006-05-08,377.80315228943437
2006-05-09,397.6277647743922
2006-05-10,411.1976394075286
2006-05-11,441.2929203887509
2006-05-12,426.91227177807065
2006-05-15,416.297710877099
2006-05-16,407.6475888591395
2006-05-17,400.69611692274026
2006-05-18,336.05957853999655
2006-05-19,299.5732656687112
2006-05-22,313.6620906679828
2006-05-23,284.2148303773222
2006-05-24,288.4868737376715
2006-05-25,276.75064012673
2006-05-26,280.31080631565436
2006-05-30,290.067929622588
2006-05-31,269.4331325069072
2006-06-01,292.60852623912433
2006-06-02,287.8790148986846
2006-06-05,304.139980889312
2006-06-06,276.0684581075745
2006-06-07,273.89173600495593
2006-06-08,247.25263113585044
2006-06-09,216.78996946570226
2006-06-12,213.79005801587869
2006-06-13,214.53700892713582
2006-06-14,170.50499128172703
2006-06-15,195.1597480215195
2006-06-16,219.24967177643563
2006-06-19,193.9307906077126
2006-06-20,175.16781595446653
2006-06-21,201.78696650232703
2006-06-22,205.58825260292454
2006-06-23,206.8263552398663
2006-06-26,215.52299707904317
2006-06-27,216.643000593814
2006-06-28,205.65710202284
2006-06-29,220.55843602078812
2006-06-30,240.90616029369312
2006-07-03,241.2647834317686
2006-07-05,259.6826114375325
2006-07-06,247.72478297874682
2006-07-07,254.4912151922303
2006-07-10,240.16158243317437
2006-07-11,240.61618881684558
2006-07-12,232.37515561905406
2006-07-13,217.126309676824
2006-07-14,197.25328448699742
2006-07-17,186.97048356907956
2006-07-18,179.20144784714358
2006-07-19,173.69289216896064
2006-07-20,196.77066949582846
2006-07-21,180.7523368365906
2006-07-24,186.24865200898645
2006-07-25,209.9088903209775
2006-07-26,213.77721201979435
2006-07-27,218.093680337129
2006-07-28,211.45613610868472
2006-07-31,214.08244593447847
2006-08-01,221.414628034641
2006-08-02,204.70090348505775
2006-08-03,200.33658897458812
2006-08-04,185.6186347730452
2006-08-07,197.22747045251958
2006-08-08,194.94453101749036
2006-08-09,188.49047846729212
2006-08-10,186.2584613257028
